site_index,lon,lat,thresh_min,area_km2,pop,cropland_km2,rwi_mean,rwi_pop_weighted,mean_travel_min
10,15.716523,-12.551236,30,516.6146052575197,123494.96875,122.25486817185109,-0.2013092041015625,0.12641224265098572,21.018436431884766
10,15.716523,-12.551236,60,2567.0229118224534,1279382.25,743.5125865527842,-0.1994367390871048,0.5462911128997803,41.695518493652344
10,15.716523,-12.551236,120,11990.48950400596,2055511.5,3443.107614535627,-0.30952948331832886,0.2883891463279724,81.90730285644531
10,15.716523,-12.551236,240,34314.047666072445,2962782.0,8325.070962545717,-0.36978232860565186,0.11925612390041351,141.06980895996094
11,15.6568397,-12.7333288,30,334.8905111679815,783607.75,116.40267356704084,0.15327823162078857,0.8285531997680664,22.430524826049805
11,15.6568397,-12.7333288,60,1876.5844899625386,1269160.75,819.314171222299,-0.1598156988620758,0.5546135306358337,43.13665008544922
11,15.6568397,-12.7333288,120,10295.431464867019,1957526.25,3188.239889320278,-0.30249059200286865,0.31896236538887024,85.36228942871094
11,15.6568397,-12.7333288,240,32246.309576717907,2876909.0,7939.9049622507155,-0.3636256456375122,0.1329643875360489,145.13304138183594
12,15.5840385,-12.7267313,30,398.70031290270884,440824.6875,171.17824022564085,-0.031559284776449203,0.7231956720352173,20.303865432739258
12,15.5840385,-12.7267313,60,2011.8539045951259,1273501.5,867.4340353581835,-0.1711300164461136,0.5491912364959717,41.8134765625
12,15.5840385,-12.7267313,120,9976.974368747427,1916932.125,3116.8907059549706,-0.3038097023963928,0.3266557455062866,84.51019287109375
12,15.5840385,-12.7267313,240,31548.448918367576,2850772.75,7815.9764517504345,-0.36189350485801697,0.13718955218791962,145.18679809570312
13,15.6568397,-12.7333288,30,334.8905111679815,783607.75,116.40267356704084,0.15327823162078857,0.8285531997680664,22.430524826049805
13,15.6568397,-12.7333288,60,1876.5844899625386,1269160.75,819.314171222299,-0.1598156988620758,0.5546135306358337,43.13665008544922
13,15.6568397,-12.7333288,120,10295.431464867019,1957526.25,3188.239889320278,-0.30249059200286865,0.31896236538887024,85.36228942871094
13,15.6568397,-12.7333288,240,32246.309576717907,2876909.0,7939.9049622507155,-0.3636256456375122,0.1329643875360489,145.13304138183594
14,15.8062687,-13.0333223,30,251.50818125791395,18393.857421875,70.88343803370391,-0.32096993923187256,-0.22695979475975037,20.21929359436035
14,15.8062687,-13.0333223,60,1361.6457334909596,862256.3125,438.32405222469157,-0.14572902023792267,0.7485909461975098,42.81806945800781
14,15.8062687,-13.0333223,120,7472.443182434329,1648676.25,2428.4149592186013,-0.28123167157173157,0.3981982171535492,86.05921936035156
14,15.8062687,-13.0333223,240,29528.872133022953,2747712.0,7388.523656938209,-0.35660335421562195,0.1547495424747467,154.2013702392578
15,15.8456872,-12.8617312,30,36.91543300519347,8502.2607421875,22.342039262627704,-0.2779444754123688,-0.2019893079996109,24.447887420654297
15,15.8456872,-12.8617312,60,811.372088500716,902672.875,335.3536777707603,-0.08086401224136353,0.7195775508880615,47.611270904541016
15,15.8456872,-12.8617312,120,6789.359949592029,1628642.0,2176.89531391784,-0.27325528860092163,0.4044560492038727,91.16255187988281
15,15.8456872,-12.8617312,240,29517.908491662252,2779767.0,7448.560922290252,-0.3579164445400238,0.14915230870246887,158.12155151367188
16,15.8279142,-12.8688398,30,410.25529689069094,533141.8125,185.7944495992444,-0.04539364576339722,0.8881248235702515,21.541881561279297
16,15.8279142,-12.8688398,60,1929.767654896821,1198476.375,721.3214165781682,-0.16314928233623505,0.59696364402771,41.103492736816406
16,15.8279142,-12.8688398,120,10431.852327246062,1944265.75,3271.2005852770085,-0.30023372173309326,0.3143797218799591,84.6791000366211
16,15.8279142,-12.8688398,240,32178.408043527023,2864684.0,7865.049228431876,-0.3630271852016449,0.13486681878566742,145.19300842285156
17,15.7184063,-12.5618831,30,320.8753957858787,63158.19140625,80.35011803037796,-0.19216877222061157,-0.034128814935684204,22.727651596069336
17,15.7184063,-12.5618831,60,2056.178813429281,1215437.125,595.4986983124628,-0.17262104153633118,0.5856249332427979,43.28106689453125
17,15.7184063,-12.5618831,120,10968.775935992948,1974837.5,3161.3247830637106,-0.3027888834476471,0.3099578619003296,83.83970642089844
17,15.7184063,-12.5618831,240,33845.61455385554,2953704.0,8268.461282155247,-0.36914271116256714,0.12050043046474457,144.7582550048828
18,15.6746136,-12.5702552,30,29.39959948029073,1180.877685546875,4.645218298719773,-0.2571702003479004,-0.20058909058570862,23.497909545898438
18,15.6746136,-12.5702552,60,678.7544122689169,99141.46875,186.0806131779031,-0.2439897358417511,-0.09415975958108902,48.42070007324219
18,15.6746136,-12.5702552,120,6830.474831160001,1694809.75,1939.0410768653576,-0.2749272584915161,0.38388875126838684,90.94219970703125
18,15.6746136,-12.5702552,240,30875.176687703693,2887768.25,7817.06855028614,-0.3646811842918396,0.1304003745317459,161.13241577148438
19,15.7060396,-12.6057394,30,10.917745518325477,631.0713500976562,1.7888630782685433,-0.3106885850429535,-0.19217842817306519,18.60894775390625
19,15.7060396,-12.6057394,60,264.5570785804424,59010.125,69.81666791402104,-0.18776822090148926,0.004140543285757303,50.75636291503906
19,15.7060396,-12.6057394,120,5475.316652276153,1612472.25,1629.189629879812,-0.25800833106040955,0.41757023334503174,95.18681335449219
19,15.7060396,-12.6057394,240,29786.92970232498,2847297.25,7613.873006983443,-0.3621426522731781,0.13657397031784058,166.01605224609375
20,15.7649885,-12.6348741,30,690.1895598553791,915652.9375,210.07595154078712,0.0013536268379539251,0.7294328212738037,20.282196044921875
20,15.7649885,-12.6348741,60,2845.6914355547688,1338283.5,939.5639278646406,-0.2020791471004486,0.5262491106987,40.86695098876953
20,15.7649885,-12.6348741,120,12887.929614124994,2103459.0,3759.6206292823754,-0.31180596351623535,0.278970330953598,81.33015441894531
20,15.7649885,-12.6348741,240,34536.44185718846,2959306.5,8332.064444149852,-0.3692985475063324,0.11990552395582199,137.7731475830078
21,15.3483709,-13.0238936,30,223.89890850788956,42237.8203125,80.73387625988471,-0.27374860644340515,-0.04745491221547127,21.50249481201172
21,15.3483709,-13.0238936,60,1370.3645431376367,326849.875,565.8433646654546,-0.27560967206954956,0.18874971568584442,43.85472869873047
21,15.3483709,-13.0238936,120,8234.05501415889,1654811.5,2845.360855582816,-0.3141261041164398,0.3777221441268921,85.21636962890625
21,15.3483709,-13.0238936,240,27059.943128178104,2665954.5,7085.422108588737,-0.35365986824035645,0.16693015396595,150.25006103515625
22,14.8426,-12.7721,30,123.36295448622637,16771.4375,29.789654050360696,-0.11303374916315079,0.40354883670806885,21.25819206237793
22,14.8426,-12.7721,60,715.7632381000108,64161.4375,197.8953292628196,-0.38491886854171753,-0.041087787598371506,42.78926086425781
22,14.8426,-12.7721,120,3759.693311604293,434403.3125,1002.3516538708217,-0.3434605300426483,0.12556315958499908,83.6168441772461
22,14.8426,-12.7721,240,20077.254168076943,2353591.5,5585.296041307554,-0.3374011814594269,0.22465017437934875,168.42242431640625
23,14.872,-12.7327,30,232.5049396010354,21907.451171875,54.00993237378168,-0.3028494119644165,0.23622848093509674,20.80150604248047
23,14.872,-12.7327,60,1009.626514591477,78026.84375,256.5980252735886,-0.3798821270465851,-0.07603491842746735,40.77174758911133
23,14.872,-12.7327,120,4046.810234841354,459846.6875,1070.068365107944,-0.3424854278564453,0.12699398398399353,79.77845764160156
23,14.872,-12.7327,240,20505.593441740577,2371401.25,5679.306948588539,-0.33763813972473145,0.2212444245815277,166.13677978515625
24,14.9495,-12.7329,30,136.7906173956033,18480.453125,37.49292302219176,-0.15994760394096375,0.3545103967189789,21.985668182373047
24,14.9495,-12.7329,60,789.5989926347484,74529.96875,216.09465282821532,-0.37764814496040344,-0.03579924628138542,42.90184020996094
24,14.9495,-12.7329,120,3950.9789710257223,471971.96875,1083.041627469564,-0.34036558866500854,0.13934853672981262,83.0759048461914
24,14.9495,-12.7329,240,20495.389625702395,2376576.0,5692.244522704879,-0.3376547396183014,0.22007013857364655,167.32383728027344
25,14.9692,-12.83,30,427.9113845354539,56665.33203125,156.3379446483927,-0.36174121499061584,-0.01155934575945139,18.976652145385742
25,14.9692,-12.83,60,1662.0576926788535,127032.421875,443.19842194739306,-0.3726519048213959,-0.07909062504768372,39.235652923583984
25,14.9692,-12.83,120,6249.581834888579,1451588.75,1981.4794135448044,-0.30549317598342896,0.4586648643016815,79.38339233398438
25,14.9692,-12.83,240,23839.273912571523,2524689.5,6501.37324120359,-0.34468865394592285,0.19111718237400055,155.14419555664062
26,14.9118,-12.8505,30,354.8991052138704,51930.7109375,106.08680920211256,-0.27199986577033997,0.009860006161034107,19.23646354675293
