row,col,lon,lat,flow_load,risk_rank
151,257,14.670833333333324,-13.020833333333325,8929.550724161969,78
103,177,14.004166666666658,-12.620833333333325,8758.44780140107,79
201,176,13.995833333333325,-13.437499999999993,8511.155944546988,80
189,191,14.120833333333325,-13.337499999999991,8511.155944546988,81
173,212,14.295833333333324,-13.204166666666659,8511.155944546988,82
184,198,14.179166666666658,-13.295833333333325,8511.155944546988,83
148,162,13.879166666666658,-12.995833333333326,8235.58713516204,84
151,163,13.887499999999992,-13.020833333333325,8235.58713516204,85
150,163,13.887499999999992,-13.012499999999992,8235.58713516204,86
95,142,13.712499999999991,-12.554166666666658,8235.58713516204,87
149,162,13.879166666666658,-13.00416666666666,8235.58713516204,88
70,237,14.504166666666658,-12.345833333333326,8058.00367714863,89
72,262,14.712499999999991,-12.362499999999992,8058.00367714863,90
72,263,14.720833333333324,-12.362499999999992,8058.00367714863,91
70,235,14.487499999999992,-12.345833333333326,8058.00367714863,92
120,229,14.437499999999991,-12.762499999999992,8001.688354145612,93
67,186,14.079166666666659,-12.320833333333326,8001.688354145612,94
148,265,14.737499999999992,-12.995833333333326,7524.658145033216,95
78,270,14.779166666666658,-12.412499999999993,7524.658145033216,96
141,265,14.737499999999992,-12.937499999999993,7524.658145033216,97
143,265,14.737499999999992,-12.954166666666659,7524.658145033216,98
160,264,14.729166666666657,-13.095833333333326,7524.658145033216,99
155,212,14.295833333333324,-13.054166666666658,6585.495638518714,100
155,213,14.304166666666658,-13.054166666666658,6585.495638518714,101
71,268,14.762499999999992,-12.354166666666659,3659.55445666646,102
39,167,13.920833333333324,-12.087499999999991,3659.55445666646,103
45,186,14.079166666666659,-12.137499999999992,3659.55445666646,104
62,238,14.512499999999992,-12.279166666666658,3659.55445666646,105
65,247,14.587499999999991,-12.304166666666658,3659.55445666646,106
