site_index,lon,lat,thresh_min,pop_marginal,pop_total_catch,pct_marginal,no,project,sector,muni
23,14.872,-12.7327,60,75840.9140625,78026.8359375,97.19849991514336,16,Instalação de Pontos de Abastecimento de Água Comunitária Tchahola,Water,Tchindjenje
23,14.872,-12.7327,120,55018.328125,459846.65625,11.96449454991552,16,Instalação de Pontos de Abastecimento de Água Comunitária Tchahola,Water,Tchindjenje
23,14.872,-12.7327,240,59403.0234375,2371401.25,2.504975631496357,16,Instalação de Pontos de Abastecimento de Água Comunitária Tchahola,Water,Tchindjenje
24,14.9495,-12.7329,30,18480.453125,18480.453125,100.0,17,Instalação de Pontos de Abastecimento de Água Comunitária Tchisseia,Water,Tchindjenje
24,14.9495,-12.7329,60,72344.046875,74529.96875,97.06705649866517,17,Instalação de Pontos de Abastecimento de Água Comunitária Tchisseia,Water,Tchindjenje
24,14.9495,-12.7329,120,55346.390625,471972.0,11.72662586445806,17,Instalação de Pontos de Abastecimento de Água Comunitária Tchisseia,Water,Tchindjenje
24,14.9495,-12.7329,240,60134.7109375,2376576.0,2.5303087693177075,17,Instalação de Pontos de Abastecimento de Água Comunitária Tchisseia,Water,Tchindjenje
25,14.9692,-12.83,30,56665.328125,56665.328125,100.0,18,Instalação de Pontos de Abastecimento de Água Comunitária Tchingongo,Water,Tchindjenje
25,14.9692,-12.83,60,106990.203125,127032.421875,84.22275317263372,18,Instalação de Pontos de Abastecimento de Água Comunitária Tchingongo,Water,Tchindjenje
25,14.9692,-12.83,120,85215.40625,1451588.75,5.870492331247401,18,Instalação de Pontos de Abastecimento de Água Comunitária Tchingongo,Water,Tchindjenje
25,14.9692,-12.83,240,64602.52734375,2524689.5,2.5588305945642027,18,Instalação de Pontos de Abastecimento de Água Comunitária Tchingongo,Water,Tchindjenje
26,14.9118,-12.8505,30,51930.7109375,51930.7109375,100.0,19,Instalação de Pontos de Abastecimento de Água Comunitária Capitango,Water,Tchindjenje
26,14.9118,-12.8505,60,94373.4609375,100811.328125,93.61394467542632,19,Instalação de Pontos de Abastecimento de Água Comunitária Capitango,Water,Tchindjenje
26,14.9118,-12.8505,120,73713.265625,1270711.125,5.800945956540674,19,Instalação de Pontos de Abastecimento de Água Comunitária Capitango,Water,Tchindjenje
26,14.9118,-12.8505,240,63685.9140625,2458341.25,2.5906051107632027,19,Instalação de Pontos de Abastecimento de Água Comunitária Capitango,Water,Tchindjenje
27,14.9099,-12.8615,30,50851.0703125,50851.0703125,100.0,20,Instalação de Pontos de Abastecimento de Água Comunitária Sayambo,Water,Tchindjenje
27,14.9099,-12.8615,60,93131.015625,99103.0859375,93.97388057495372,20,Instalação de Pontos de Abastecimento de Água Comunitária Sayambo,Water,Tchindjenje
27,14.9099,-12.8615,120,74470.578125,1234707.75,6.031433602405103,20,Instalação de Pontos de Abastecimento de Água Comunitária Sayambo,Water,Tchindjenje
27,14.9099,-12.8615,240,63587.8125,2453188.0,2.592048081924418,20,Instalação de Pontos de Abastecimento de Água Comunitária Sayambo,Water,Tchindjenje
28,16.0475684,-12.5610345,30,36673.04296875,36673.04296875,100.0,5,"Construção da Vala de irrigação da aldeia de Nduva, Sede do Município da Chicala Cholohanga",Irrigation,Tchikala-tcholoanga
28,16.0475684,-12.5610345,60,98507.796875,623511.125,15.79888360051314,5,"Construção da Vala de irrigação da aldeia de Nduva, Sede do Município da Chicala Cholohanga",Irrigation,Tchikala-tcholoanga
28,16.0475684,-12.5610345,120,64472.1484375,1886088.625,3.418298990987234,5,"Construção da Vala de irrigação da aldeia de Nduva, Sede do Município da Chicala Cholohanga",Irrigation,Tchikala-tcholoanga
28,16.0475684,-12.5610345,240,62020.6640625,2943895.0,2.10675530419733,5,"Construção da Vala de irrigação da aldeia de Nduva, Sede do Município da Chicala Cholohanga",Irrigation,Tchikala-tcholoanga
29,16.0108371,-12.5558828,30,31718.5703125,31718.5703125,100.0,6,Construção da Vala de irrigação da Barragem da Suia- Sede,Irrigation,Tchikala-tcholoanga
29,16.0108371,-12.5558828,60,89559.390625,289715.625,30.91286175020764,6,Construção da Vala de irrigação da Barragem da Suia- Sede,Irrigation,Tchikala-tcholoanga
29,16.0108371,-12.5558828,120,58962.890625,1861954.0,3.166721123346764,6,Construção da Vala de irrigação da Barragem da Suia- Sede,Irrigation,Tchikala-tcholoanga
29,16.0108371,-12.5558828,240,60201.296875,2933355.0,2.0523017798732166,6,Construção da Vala de irrigação da Barragem da Suia- Sede,Irrigation,Tchikala-tcholoanga
30,15.9000005,-12.5323524,30,19629.48046875,19645.81640625,99.916847754442,7,Construção da Vala de irrigação do Colonato Agrícola de Catete - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
