site_id,x,y,lon,lat,row,col,travel_min,veg_index,ntl,drought_pct,cropland_cells_5km,cropland_km2_5km,electrified_cells_5km,electrified_share_5km,near_road_flag
6,16.0108371,-12.5558828,16.0108371,-12.5558828,134,146,63.7591438293457,0.5142270922660828,0.19155481457710266,,81,18.989999771118164,0,0.0,1
7,15.9000005,-12.5323524,15.9000005,-12.5323524,131,133,50.043357849121094,0.5618725419044495,0.1718980222940445,,62,5.070000171661377,0,0.0,1
8,15.85686013,-12.55910948,15.85686013,-12.55910948,135,127,46.64924240112305,0.6090869903564453,0.1863640546798706,,59,4.579999923706055,0,0.0,1
9,15.8353055,-12.5386274,15.8353055,-12.5386274,132,125,40.64924240112305,0.5368330478668213,0.3166709542274475,,69,5.320000171661377,0,0.0,1
10,15.8393517,-12.5276705,15.8393517,-12.5276705,131,125,41.8492431640625,0.579774796962738,0.21562622487545013,,71,6.440000057220459,0,0.0,1
11,15.80946062,-12.48806005,15.80946062,-12.48806005,126,122,57.69915008544922,0.5603296160697937,0.21623046696186066,,65,6.019999980926514,0,0.0,0
12,16.0147384,-12.5928052,16.0147384,-12.5928052,139,146,65.8515625,0.5540520548820496,0.21539418399333954,,81,13.630000114440918,1,0.012345679012345678,0
13,16.0952236,-12.6166219,16.0952236,-12.6166219,141,156,63.3133659362793,0.4858027696609497,0.2084886133670807,0.0,75,11.279999732971191,0,0.0,0
14,16.00378707,-12.61702845,16.00378707,-12.61702845,142,145,52.01650619506836,0.5674420595169067,0.20114457607269287,,81,10.34000015258789,2,0.024691358024691357,1
37,15.21858319,-12.73976599,15.21858319,-12.73976599,156,51,90.3228988647461,0.6713225245475769,0.23333798348903656,,42,5.519999980926514,0,0.0,1
39,15.11665982,-12.85058095,15.11665982,-12.85058095,170,38,91.33833312988281,0.45024266839027405,0.2905559837818146,5.0,80,48.060001373291016,4,0.04938271604938271,1
